                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.7353,                0.76481,                 1.0726,                0.73922,                0.64468,                0.67951,                0.29096,                 1.9404,                0.87504,                 1.0696,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.7018,                0.74634,                 1.0695,                0.74318,                0.67061,                0.70927,                0.32098,                 1.8751,                0.86221,                 1.0728,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.6935,                0.75784,                 1.0786,                0.77152,                0.66153,                0.72689,                0.31067,                 1.9623,                0.83678,                 1.0891,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.7191,                0.74451,                  1.084,                0.79919,                0.67243,                0.73854,                0.33848,                 1.8635,                0.81939,                 1.0673,               0.001472,               0.001472,               0.001472
                     82,                 1.7451,                0.77011,                  1.098,                0.81195,                0.65275,                0.72683,                0.32719,                  1.824,                0.85403,                 1.0481,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.7243,                0.75887,                 1.0841,                0.76033,                0.66797,                0.71879,                0.33622,                 1.7948,                0.88381,                 1.0355,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.7603,                0.76692,                 1.1022,                0.75846,                0.67695,                0.73245,                0.35224,                  1.757,                0.83357,                 1.0321,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.7442,                0.74002,                 1.0718,                0.73904,                0.64246,                0.69074,                0.30032,                 1.8772,                0.86807,                 1.0556,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.7251,                0.74764,                  1.076,                 0.7767,                0.63211,                0.72128,                0.34524,                 1.7414,                0.84628,                 1.0247,               0.001439,               0.001439,               0.001439
                     87,                  1.711,                0.74238,                 1.0742,                0.77361,                0.64163,                0.71288,                0.32665,                 1.8434,                0.85254,                  1.061,              0.0014324,              0.0014324,              0.0014324
                     88,                  1.677,                0.74157,                 1.0777,                0.74611,                0.63755,                0.68338,                0.26223,                 2.0577,                0.89446,                 1.1015,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.6782,                0.73448,                 1.0867,                  0.743,                0.66037,                0.69895,                 0.2812,                 2.0146,                0.87621,                 1.0929,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.7111,                0.73763,                 1.0537,                0.74829,                0.66622,                0.69952,                0.29594,                 1.8815,                0.83812,                 1.0527,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.7328,                 0.7551,                 1.0708,                0.74815,                0.67124,                0.71395,                0.32575,                 1.7987,                0.87448,                 1.0423,               0.001406,               0.001406,               0.001406
                     92,                 1.7185,                 0.7704,                 1.0642,                0.72318,                0.64665,                0.70305,                0.33398,                 1.7464,                0.89426,                 1.0295,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.6587,                0.74889,                 1.0862,                 0.7437,                0.66309,                0.71934,                0.34218,                 1.7677,                0.89076,                   1.04,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.6588,                0.71616,                 1.0592,                0.75339,                0.67202,                0.72337,                0.36213,                 1.6709,                0.85122,                  1.016,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.6881,                0.75017,                 1.0529,                0.76365,                0.67413,                0.72757,                0.34632,                 1.7514,                0.86584,                 1.0288,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.6697,                0.75253,                 1.0808,                0.82561,                0.66262,                0.75376,                0.35339,                   1.83,                 0.8184,                 1.0559,               0.001373,               0.001373,               0.001373
                     97,                 1.6403,                0.73615,                 1.0655,                0.83111,                0.67266,                0.74889,                0.33574,                 1.9091,                0.82682,                  1.077,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.6813,                 0.7211,                 1.0378,                0.81598,                 0.6721,                0.73655,                0.32196,                 1.9091,                 0.8266,                 1.0722,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.6823,                0.75691,                 1.0609,                0.82115,                0.65815,                0.73287,                0.33153,                 1.8675,                0.81383,                 1.0554,              0.0013532,              0.0013532,              0.0013532
