                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.6743,                0.72492,                  1.089,                 0.8175,                0.66278,                0.73657,                0.31811,                 1.9383,                0.79117,                   1.09,               0.006535,               0.006535,               0.006535
                    107,                 1.6709,                0.71655,                 1.0855,                0.82681,                0.68549,                0.75738,                 0.3488,                 1.8136,                0.77256,                 1.0639,               0.006502,               0.006502,               0.006502
                    108,                 1.7513,                0.73438,                 1.0774,                0.82067,                0.68534,                0.74862,                0.36138,                  1.726,                0.78412,                 1.0403,               0.006469,               0.006469,               0.006469
                    109,                 1.7012,                0.72458,                 1.0891,                0.82569,                0.67048,                 0.7476,                0.34127,                 1.8379,                0.78954,                 1.0693,               0.006436,               0.006436,               0.006436
                    110,                 1.6704,                0.72776,                  1.084,                0.81602,                 0.6688,                0.73834,                0.33594,                 1.8396,                0.78634,                 1.0618,               0.006403,               0.006403,               0.006403
                    111,                 1.6607,                 0.7065,                 1.0568,                0.82247,                0.67288,                0.74558,                0.34012,                 1.8148,                0.78436,                 1.0559,                0.00637,                0.00637,                0.00637
                    112,                  1.679,                0.70961,                 1.0721,                0.82948,                0.67941,                0.75855,                0.35864,                   1.75,                 0.7795,                 1.0438,               0.006337,               0.006337,               0.006337
                    113,                 1.6821,                0.72666,                  1.069,                0.82261,                0.68112,                0.75018,                0.35198,                 1.7778,                0.76987,                 1.0469,               0.006304,               0.006304,               0.006304
                    114,                 1.6043,                0.69835,                 1.0608,                0.81955,                0.68309,                0.75419,                0.34931,                    1.8,                0.77235,                 1.0547,               0.006271,               0.006271,               0.006271
                    115,                 1.6471,                0.71926,                 1.0751,                0.80817,                0.68588,                0.75391,                0.36433,                  1.738,                 0.7669,                 1.0429,               0.006238,               0.006238,               0.006238
                    116,                 1.6812,                0.72202,                 1.0819,                0.81828,                0.68675,                0.75854,                0.37627,                 1.6714,                 0.7576,                 1.0229,               0.006205,               0.006205,               0.006205
                    117,                 1.6491,                0.71188,                 1.0841,                0.78871,                0.68839,                0.75267,                0.37601,                 1.6726,                0.76447,                 1.0229,               0.006172,               0.006172,               0.006172
                    118,                  1.608,                0.71882,                 1.0808,                0.79714,                0.68729,                0.75732,                0.36133,                 1.7648,                 0.7812,                 1.0484,               0.006139,               0.006139,               0.006139
